time,screen,pupil,subject_id,stimulus_id,pixel
2363499,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,77.3
2363499,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,107.9
2363501,stimulus_Lit_NorthWind_7_page_1,1610.0,7,practice2,77.1
2363501,stimulus_Lit_NorthWind_7_page_1,1610.0,7,practice2,108.4
2363503,stimulus_Lit_NorthWind_7_page_1,1610.0,7,practice2,77.0
2363503,stimulus_Lit_NorthWind_7_page_1,1610.0,7,practice2,108.2
2363505,stimulus_Lit_NorthWind_7_page_1,1614.0,7,practice2,76.9
2363505,stimulus_Lit_NorthWind_7_page_1,1614.0,7,practice2,107.5
2363507,stimulus_Lit_NorthWind_7_page_1,1618.0,7,practice2,76.6
2363507,stimulus_Lit_NorthWind_7_page_1,1618.0,7,practice2,107.9
2363509,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,76.6
2363509,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,108.0
2363511,stimulus_Lit_NorthWind_7_page_1,1613.0,7,practice2,76.6
2363511,stimulus_Lit_NorthWind_7_page_1,1613.0,7,practice2,107.9
2363513,stimulus_Lit_NorthWind_7_page_1,1611.0,7,practice2,76.6
2363513,stimulus_Lit_NorthWind_7_page_1,1611.0,7,practice2,108.1
2363515,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,76.8
2363515,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,108.1
2363517,stimulus_Lit_NorthWind_7_page_1,1614.0,7,practice2,76.7
2363517,stimulus_Lit_NorthWind_7_page_1,1614.0,7,practice2,107.9
2363519,stimulus_Lit_NorthWind_7_page_1,1614.0,7,practice2,76.1
2363519,stimulus_Lit_NorthWind_7_page_1,1614.0,7,practice2,107.7
2363521,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,76.1
2363521,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,107.6
2363523,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,76.5
2363523,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,108.0
2363525,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,76.7
2363525,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,108.4
2363527,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,77.0
2363527,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,108.4
2363529,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,77.2
2363529,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,108.4
2363531,stimulus_Lit_NorthWind_7_page_1,1611.0,7,practice2,76.9
2363531,stimulus_Lit_NorthWind_7_page_1,1611.0,7,practice2,108.3
2363533,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,77.1
2363533,stimulus_Lit_NorthWind_7_page_1,1612.0,7,practice2,108.3
2363535,stimulus_Lit_NorthWind_7_page_1,1614.0,7,practice2,76.9
2363535,stimulus_Lit_NorthWind_7_page_1,1614.0,7,practice2,108.2
2363537,stimulus_Lit_NorthWind_7_page_1,1617.0,7,practice2,76.4
2363537,stimulus_Lit_NorthWind_7_page_1,1617.0,7,practice2,108.0
2363539,stimulus_Lit_NorthWind_7_page_1,1617.0,7,practice2,76.5
2363539,stimulus_Lit_NorthWind_7_page_1,1617.0,7,practice2,107.9
2363541,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,76.8
2363541,stimulus_Lit_NorthWind_7_page_1,1615.0,7,practice2,108.3
