timestamp	message_type	message	data_path	data_name
22989.047200069763	action	loading screen 6	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	final_screen
23008.51150008384	action	loading screen 7	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	practice_screen
23028.014700044878	action	loading screen 8	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	transition_screen
23048.91580005642	action	loading screen 9	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	informed_consent_screen
23067.560900002718	action	loading screen 10	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	instruction_screen_2
23084.437899990007	action	loading screen 11	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	instruction_screen_3
23101.086899987422	action	loading screen 12	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	instruction_screen_1
23117.845300002955	action	loading screen 15	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	subject_difficulty_screen
23213.77360005863	action	loading screen 16	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	familiarity_rating_screen_1
23285.365600022487	action	loading screen 17	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	familiarity_rating_screen_2
23450.38920000661	action	loading screen 18	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	camera_setup_screen
23472.054500016384	action	loading screen 19	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	validation_screen
23490.55840005167	action	loading screen 20	C:\Users\User\MultiplEye\wg1-experiment-implementation\experiment_implementation\data\stimuli_MultiplEYE_RO_RO_Bucharest_1_2025\multipleye_participant_instructions_RO_with_img_paths.csv	recalibration_screen
